,City,Lattitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
369,serchhip,23.3,92.83,30.0,74,75,1.5,IN,1601620045
370,kathu,7.92,98.33,30.0,74,20,5.1,TH,1601620045
371,yermakovskoye,53.28,92.4,5.49,69,87,0.72,RU,1601620046
372,namagiripettai,11.47,78.27,32.0,55,20,4.6,IN,1601620047
373,ziro,27.63,93.83,32.0,79,75,1.5,IN,1601620047
374,karpathos,35.51,27.21,24.0,60,0,2.6,GR,1601620048
375,paragominas,-2.97,-47.48,21.72,90,5,1.34,BR,1601620016
376,hays,30.05,-98.03,20.56,60,0,1.79,US,1601620049
377,namibe,-15.2,12.15,17.67,85,39,0.32,AO,1601620049
378,vaitape,-16.52,-151.75,26.7,77,24,9.65,PF,1601619915
379,richards bay,46.84,-95.91,4.0,80,90,1.5,US,1601620050
380,mayumba,-3.43,10.66,24.71,80,80,1.78,GA,1601620051
381,fare,-16.7,-151.02,26.52,77,2,9.77,PF,1601620052
382,sitka,57.05,-135.33,16.0,51,75,8.2,US,1601620052
383,tamiahua,21.27,-97.45,20.63,68,26,3.75,MX,1601620053
384,sarankhola,22.31,89.79,30.28,75,97,3.49,BD,1601620053
385,lidkoping,58.51,13.16,13.89,100,75,4.1,SE,1601620054
